productid,class_name,diameter,quote_weight,backup_quote_weight,New Quote Weight,production_weight,New KL,,Quote vs production,,,,
234,PN10,40,0.28,0.28,0.28,0.28,0.282,,0.00%,,,,
235,PN12.5,20,0.09,0.09,0.09,0.09,0.091,,0.00%,,,,
236,PN12.5,25,0.14,0.14,0.14,0.14,0.141,,0.00%,,,,
237,PN12.5,40,0.35,0.35,0.35,0.35,0.352,,0.00%,,,,
238,PN16,16,0.11,0.11,0.11,0.11,0.111,,0.00%,,,,
239,PN16,25,0.16,0.16,0.16,0.16,0.161,,0.00%,,,,
240,PN16,32,0.27,0.27,0.27,0.27,0.272,,0.00%,,,,
242,PN16,40,0.42,0.42,0.42,0.42,0.423,,0.00%,,,,
243,PN20,20,0.13,0.13,0.13,0.13,0.131,,0.00%,,,,
244,PN20,25,0.21,0.21,0.21,0.21,0.211,,0.00%,,,,
245,PN20,32,0.32,0.32,0.32,0.32,0.322,,0.00%,,,,
246,PN20,40,0.5,0.50,0.5,0.5,0.503,,0.00%,,,,
247,Polycop,15,0.08,0.08,0.08,0.08,0.081,,0.00%,,,,
248,Polycop,22,0.17,0.17,0.17,0.17,0.171,,0.00%,,,,
249,Polycop,28,0.27,0.27,0.27,0.27,0.272,,0.00%,,,,
250,Polycop,35,0.43,0.43,0.43,0.43,0.433,,0.00%,,,,
251,PN16,138,5.07,5.12,5.13,5.07,5.157,,-1.07%,,,,
252,PN10,20,0.9,NULL,#VALUE!,0.9,1.2,,#VALUE!,,,,
